2021-03-23 05:26:25 startup archives install
2021-03-23 05:26:25 install base-passwd:amd64 <none> 3.5.46
2021-03-23 05:26:25 status half-installed base-passwd:amd64 3.5.46
2021-03-23 05:26:25 status unpacked base-passwd:amd64 3.5.46
2021-03-23 05:26:25 configure base-passwd:amd64 3.5.46 3.5.46
2021-03-23 05:26:25 status half-configured base-passwd:amd64 3.5.46
2021-03-23 05:26:25 status installed base-passwd:amd64 3.5.46
2021-03-23 05:26:25 startup archives install
2021-03-23 05:26:25 install base-files:amd64 <none> 10.3+deb10u8
2021-03-23 05:26:25 status half-installed base-files:amd64 10.3+deb10u8
2021-03-23 05:26:25 status unpacked base-files:amd64 10.3+deb10u8
2021-03-23 05:26:25 configure base-files:amd64 10.3+deb10u8 10.3+deb10u8
2021-03-23 05:26:25 status half-configured base-files:amd64 10.3+deb10u8
2021-03-23 05:26:26 status installed base-files:amd64 10.3+deb10u8
2021-03-23 05:26:26 startup archives install
2021-03-23 05:26:26 upgrade dpkg 1.19.7 1.19.7
2021-03-23 05:26:26 status half-configured dpkg 1.19.7
2021-03-23 05:26:26 status unpacked dpkg 1.19.7
2021-03-23 05:26:26 status half-installed dpkg 1.19.7
2021-03-23 05:26:26 status unpacked dpkg:amd64 1.19.7
2021-03-23 05:26:26 configure dpkg:amd64 1.19.7 1.19.7
2021-03-23 05:26:26 status half-configured dpkg:amd64 1.19.7
2021-03-23 05:26:26 status installed dpkg:amd64 1.19.7
2021-03-23 05:26:26 startup archives install
2021-03-23 05:26:26 install libc6:amd64 <none> 2.28-10
2021-03-23 05:26:26 status half-installed libc6:amd64 2.28-10
2021-03-23 05:26:27 status unpacked libc6:amd64 2.28-10
2021-03-23 05:26:27 configure libc6:amd64 2.28-10 2.28-10
2021-03-23 05:26:27 status half-configured libc6:amd64 2.28-10
2021-03-23 05:26:27 status installed libc6:amd64 2.28-10
2021-03-23 05:26:27 startup archives install
2021-03-23 05:26:27 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2021-03-23 05:26:27 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:27 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:27 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-03-23 05:26:27 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:27 status installed perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:27 startup archives install
2021-03-23 05:26:27 install mawk:amd64 <none> 1.3.3-17+b3
2021-03-23 05:26:27 status half-installed mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:27 status unpacked mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:27 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-03-23 05:26:27 status half-configured mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:27 status installed mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:27 startup archives unpack
2021-03-23 05:26:27 install libacl1:amd64 <none> 2.2.53-4
2021-03-23 05:26:27 status half-installed libacl1:amd64 2.2.53-4
2021-03-23 05:26:27 status unpacked libacl1:amd64 2.2.53-4
